name,rating,number_of_photos,message,rating_num,label
Bruna Almeida Silva,,3,"5 meses atrás A quantidade de funcionários não atende a demanda. Se está sempre cheio, precisa contratar mais funcionários. O atendimento também faz parte da experiência. /",,neutral
Gianna Marques Zamberlan,,630,"6 anos atrás Ótimo atendimento e a comida maravilhosa. Não é barato, mas vale a pena. Recomendo /",,neutral
Fernando Azevedo,4.0/5,31,"6 meses atrás Refeição no local / Café da manhã / R$ 40–60 Fancy. Gosto mais de padoca No entanto, justiça seja feita. Extenso menu num lugar muito conveniente e fácil de parar. Agradável e bem carinho",4.0,positive
Eduardo Nunes de Carvalho,,321,"Editado 3 anos atrás Deliciosas opções de café, chocolates e doces. Bem decorado e aconchegante, com a conveniência de funcionamento 24 horas. Atendentes prestativas e simpáticas. Desafio apenas é encontrar estacionamento, mas há vagas no outro lado da rua. Preço acima do mercado, porém justifica pela qualidade. Dica gulosa: pedir espresso duplo com um charutinho de chocolate ou bomba de café. /",,neutral
Audrey Prestes,,2100,"2 anos atrás Pão de queijo multi grãos e chocolate quente tradicional, MARAVILHOSOS! Atendimento bom também. 1 /",,neutral
Fabiana Victor,,3,"Editado 7 meses atrás Hj fui nessa ofner,atendimento péssimo,as balconistas estavam no mundo da lua,essas doidas,eu pedi uma bomba de pistache e 1 cone de morango com chocolate pra viagem,colocaram 2 cones de morango na sacola,só vi quando eu cheguei em casa.cadê a bomba de pistache suas insolentes?não recomendo pra ninguém. /",,neutral
Joana Perosa,1.3/5,,"10 meses atrás Péssimo atendimento. Cheguei no local com amigos, as 20:00 de um sábado, a comida levou mais de 1 hora para chegar, os atendentes só ficavam respondendo, vamos checar e a comida não vinha, quando veio, comida fria, insossa. Isso porque o lugar tinha apenas umas outras 3 mesas. Péssima experiência",1.3,negative
Hilton Brinks,,2543,"7 anos atrás Salgadinhos, doces, sorvetes, café tudo saboroso e com qualidade !!! Foi uma ótima opção para o lanche do dia 1 de Janeiro. 1 /",,neutral
Eliane Shiroze,2.7/5,,"um ano atrás Após a reforma o ambiente ficou bem bonito, porém o atendimento precisa melhorar bastante!! Parece que os atendentes ""fingem"" que não estão te vendo... uma canseira para ser atendido!! Qdo finalmente fui atendida, pedi uma fatia de bolo de pistache, conforme o cardápio, e o atendente disse que não tinha fatia, somente o bolo inteiro estava disponível... Pois, se tinha o bolo inteiro, por quê não podia fatiá-lo?? Então não coloquem essa opção no cardápio!!",2.7,neutral
Adriana Koide,,141,"8 anos atrás Sabores suaves, contraditoriamente marcantes! A mini torta de chocolate com maracujá eleva o ânimo e te faz agradecer por estar viva! 1 /",,neutral
Isabela Assis,3.0/5,,"7 meses atrás Pela segunda vez vou até a loja e não sou bem atendida pelos funcionários, passam clientes na minha frente e não são educados. Péssimo atendimento!",3.0,neutral
Luana Vigar,4.3/5,,"·1 foto um ano atrás qualidade está caindo! camafeu antes perfeito, agora tem pequenos pedaços duros de casca de nozes. descontinuadas vários produtos bons, como o gelato de limão e o polpelini de chocolate. atendimento muito demorado.",4.3,positive
Ricardo Alberto de Godoy Barsotti,,,"·1 foto um ano atrás Hoje fui a ofner da rua caiubi aonde eu desde os meus 7 anos ia com a minha família. Fazia uns anos que não ia lá. Pois hoje tive a vontade de ir comprar chocolate a granel e para a minha surpresa não fazem mais , só chocolate em caixas cheia de fru fru.....gourmetizaram mais uma loja de história. Reformaram o lugar que ficou bonito mais o principal tiraram de linha. Descanse em paz mais uma rede de chocolates que já foi referência. Procurem pela di Siena quem gosta da ofner de antigamente, muito melhor em tudo. 1 /",,neutral
Fabricio Castro,5.0/5,,"6 meses atrás Para viagem / Outro / +R$ 200 Bons produtos, montaram um bolo pra mim na hora. Super fresco.",5.0,positive
MArio Kio,,5134,2 anos atrás O morango estava muito azedo e outro doce com recheio de sabor excelente /,,neutral
Olivia Vega,5.0/5,6,"10 meses atrás Ofner Rua Caiubi Perdizes - São Paulo - SP Aos cuidados: Soraia (gerente) Hoje dia 08 / 10 / 2024, por volta das 15h, estive na unidade Rua Caiubi Quero registrar atendimento exemplar da funcionária Sophia (menor aprendiz) A Sophia é educada, fala baixo, sempre sorrindo, cortês, genti...muitos elogios. Imagina! Oferece auxílio para idoso se levantar da cadeira. Nos acompanhou até o caixa e fez lindas embalagens para presente. Espero que elogio chegue até o gestor. Agradeço Serviço: 5 / 5 / Ambiente: 5 / 5 1 /",5.0,positive
Paola Della Monica,3.7/5,,"um ano atrás Sou cliente a 10 anos, está impossível ir na Ofner depois de reformada. O serviço é além de péssimo, é insuportável. Estou há 10 minutos sentada, tem 2 mesas na Ofner toda e ngm vem me atender, nem atendente por perto tem. Isso porque é a oitava vez que venho aqui e sou mal atendida. As pessoas comentam entre elas e com os atendentes o quão ruim está. Gastaram com reforma e esqueceram do rh.",3.7,neutral
Ágata Ortiz,,164,Editado 5 meses atrás Doces maras! Parada obrigatória em SP /,,neutral
Telma De Melo,,134,"um ano atrás Estive nesta Ofner em janeiro de 2024, em um sábado à tarde. Não tive problemas para estacionar, apesar do lugar estar bem cheio. No entanto, achei o atendimento pouco cordial, com o garçom que me atendeu visivelmente cansado e sem paciência. Quantos aos doces, comi um entremet de chocolate e amêndoas, em que nada se notava dessa última, restando apenas o sabor de um mousse de chocolate comum, desses que fazemos em nossa casa. Para piorar, a massa estava murcha, como se o doce estivesse há dias na vitrine. Também experimentei o banoffee, que foi outra decepção: massa branca e dura, banana e, lá longe, o doce de leite e o café. Já visitei várias lojas Ofner e gostei, mas dessa, sinceramente, não. 3 /",,neutral
Adriana Fernandes,,59,"um ano atrás A melhor coxinha que já comi na vida é da Ofner rs Essa loja da Caiubi é muito bonitinha, atendimento excelente. E comi um doce divino, chamado Due Citron, um mousse de limão siciliano, com ganache de chocolate branco, uma massa crocante, recomendo! Amei! /",,neutral
Fabris Dermatologia,,2,"10 meses atrás Refeição no local / Outro / R$ 80–100 Demora para servir. Sempre que venho aqui tenho que esperar muito tempo para ser servido, mesmo que não esteja tão cheio. Acho que falta treinamento dos garçons. /",,neutral
Ana Maria Guaitoli,,,"um ano atrás É tudo muito gostoso, de 1ª qualidade. Única coisa que hoje estive lá e não gostei da atitude do segurança, pois ficou me olhando muito porque acabei de tomar meu drink de café com croissant e fiquei na mesa, relaxada olhando as pessoas, vendo msg no celular, calma. E o segurança me olhando diretamente. Pergunto esse ser é para nós vigiar? Ou é para nos proteger? Me intimidou, não gostei!!! Adoro os atendentes!!! /",,neutral
Vital Teotônio,1.0/5,9,"um ano atrás Café da manhã Sexta feira 14 / 06 / 24 10:45 da manhã, NÃO TEM CAFÉ NA OFINER, GUILHERME LOMBARD JOSEPH VICTOR E VITAL VIANA, ENTRE OUTROS CLIENTES SEM CAFÉ, NESSE CASO FOMOS OBRIGADOS A TOMAR CAFÉ TRÊS CORAÇÕES NA CONCORRENTE HAVANNA... OFINER Higienópolis Serviço: 1 / 5 /",1.0,negative
Bárbara Guimarães,2.3/5,,8 meses atrás Além de os preços estarem abusivos reduziram pela metade o tamanho dos doces. Aí é desrespeito com os clientes. Não vou mais.,2.3,neutral
Andrea Orosco,5.0/5,32,"8 meses atrás Brunch / R$ 80–100 Amei o lugar! Tem muito más opções de pratos, inclusive sopas a comida muito gostosa, especialmente as coisas com palmito.",5.0,positive
Claudia Dias,,9,"um ano atrás Por ser uma doceira tão tradicional e com preços altos, considero que a qualidade eh boa, mas o atendimento precisa melhorar! Nao adianta meter uma reforma e deixar tudo lindo se os funcionários não sao treinados e vc precisa ficar caçando alguem que te atenda principalmente em um dia que o local está vazio! Uma pena 1 /",,neutral
mariana westers,,,"Editado um ano atrás Frequentávamos todos os finais de semana, o atendimento é muito bom, a equipe sempre gentil e educada, o lugar agradável, mas a questão dos fumantes é algo que precisaria de uma solução. Entendo que a rua é pública e essa questão é difícil de resolver. Mas os clientes simplesmente se encostam nos carros próximos às mesas e acendem seus cigarros. O cheiro é insuportável, algo extremamente desagradável. Fim de semana passado não terminamos de consumir nosso pedido, e hoje sentamos à mesa mas nem realizamos nosso pedido e fomos embora, por conta dessa questão. É uma pena que a educação das pessoas impacte dessa forma a loja. 3 /",,neutral
Malu Rossi,,,"um ano atrás Amo a Ofner Caiubi. Frequento há mais de 50 anos. Já frequentei outras lojas da rede, a Caiubi é a mais aconchegante em termos acolhimento e atenção de seus funcionários. A rua é arborizada e com mesas do lado de fora, o que me dá a sensação de natureza, de liberdade. Minha filha especial adora os produtos, tudo tem que ter o logotipo da Ofner. São 20 anos tomando meu capuccino diariamente, estou até um pouco deprê por causa da reforma, mas sei que final de fevereiro ela reabre com mais do melhor que ela nos oferece. Que os bons momentos retornem! Vamos celebrar! 2 /",,neutral
isaac tobias,,913,"Editado um ano atrás Ofner. Sempre (será que sim?) uma boa lembrança em se tratando de doces e salgados finos. Bom, vamos lá. Hoje, 24 / 12 estivemos na loja Ofner de Perdizes. Que frequento (ou quem sabe frequentava) desde a sua abertura. E que Decepção (isto mesmo, com letra maiúscula). Pessoal da Ofner, aloooo. Está mais do que na hora de alguém dar uma passadinha lá. Vamos contar a experiência. Talvez sirva de exemplo. Ao chegar, fomos aos balcões. Minha esposa e filha no de sorvetes e eu no de doces. Não gostei do aspecto dos sorvetes. Não pareciam cremosos e estavam cheios de flocos de gelo por cima. Temperatura estava fora do ideal ou o sorvete estava lá já a muito tempo? Não sei, mas estava muito diferente das outras Ofner que conheço e frequento. Enquanto isto fui ao balcão de doces. Pensei em já levar na hora, mas a atendente pediu que eu me sentasse que ela levaria na mesa. Fui me sentar e a mesa não estava apresentável. Alguém derramou alguma coisa doce nela e estava melada. Sentei na do lado e, enquanto aguardava a minha família, observei uma outra atendente limpando a mesa. Era digno de ter sido filmado para não haver dúvidas. Ela passando um paninho amarrotado só nas bordas da mesa, deixando o centro ainda melado. Aí, minha família chegou, começaram a saborear o sorvetes e notaram que a qualidade não era a correspondente a de outras lojas da Ofner. Sendo que minha filha me perguntou o q eu havia pedido e eu disse qual era o produto escolhido, mas esqueceram de mim. Bom não importa. Jogamos o sorvete fora e fui pagar. Quando a caixa me perguntou se era só aquilo mesmo e eu falei que não havia recebido o meu pedido. Ela prontamente me respondeu que aquele não era o padrão. E eu disse que sabia. Pois frequentava aquela loja desde a sua abertura. Enfim, este foi nosso Presente Ofner de Natal. E, para ter o padrão que a caixa falou, é necessário urgentemente de uma reciclagem no treinamento daquela loja. Muuuiiitttaaa gente, fazendo nada. Desculpe-me pelo desabafo. Não costumo ser assim tão crítico. Mas hj vcs excederam qq limite da razoabilidade. Boa tarde e Feliz Natal Obs: para nós não foi, pois tivemos que procurar outro estabelecimento semelhante para fazermos nossas compras natalinas para presentear os amigos. Atualizando: Esta unidade foi fechada para reforma... Vamos ver o q vai dar. 2 /",,neutral
Gustavo Carneiro,,10335,"Editado 2 anos atrás Sabe aquela frase: - Quem conhece não troca. Serve perfeitamente para a Ofner. Qualidade, sabor, produtos de primeira linha, tudo atrelado a um excelente atendimento. Sou frequentador diário da Ofner (há décadas). Vou todos os dias na unidade do Shopping Mooca e aos finais de semana nas unidades do Shopping Higienópolis e Perdizes. Tenho portanto, conhecido a fundo todo o cardápio e por consequência da frequência, conheço muitos dos funcionários. 7mdos maiores trunfos da loja é a gerente Soraia. Simpática, educada, atenciosa, prestativa, preparada e conhece todos os clientes de longa data. Tive o prazer de ser atendido anos no Mooca Plaza shopping e agora ao lado da minha casa em Perdizes. Alguns itens da Ofner são maravilhosos. São eles: - Primeiramente o café, que além de ser muito gostoso, sempre é tirado por uma pessoa muito bem treinada ao um barista formado. - O que dizer dos salgados. A coxinha é um sonho é sempre está fresquíssima. A empada de camarão na minha opinião é a melhor. Ah, tem a coxa creme também, que nenhum outro lugar faz igual. - O que falar dos doces !!! O canudo de chocolate é para comer de joelhos. O fabergé tem o melhor mousse de chocolate do mundo. Os eclairs são maravilhosos e é impossível comer um só. Se você gosta de um bom atendimento, tem que conhecer a gerente da Ofner Perdizes, Soraia. Alem de ser uma EXCELENTE profissional, é um pessoa muito atenciosa e carinhosa. Minhas filhas amam ela e se sentem em casa. Parabéns ao Sr. Fernando pela excelente administração das lojas e pelo maravilhoso treinamento dado aos seus colaboradores. 15 /",,neutral
lourenço Garutti,,29,"2 anos atrás Muuuito bom. Como sempre a coxinha de camarão deliciosa. Não é necessário explicar o que é a Ofner. Esta loja em particular, fica face norte, assim, à tarde na parte externa é sombra criando uma condição excelente para um lanchinho do gosto de cada um. Frequência própria padrão clientes da Ofner. Vale conhecer. /",,neutral
Rodrigo Silveira de Oliveira,,,"um ano atrás Atendimento péssimo! Acabou de reinaugurar, fomos duas vezes, a última quase vazio, e os funcionários não atendem. Vc tem que quase implorar para ser atendido em meio a um sorriso falso. Agora mesmo, após 25 min de espera chamando, levantamos e viemos em outro lugar… 2 /",,neutral
Mirna Okamura,5.0/5,1441,10 meses atrás Ficou bem bonita com as mesas fora,5.0,positive
Cibele Avila Garcia,,,"3 anos atrás Péssimo atendimento, duas funcionárias empurrando uma para outra, minha tentativa em fazer o pedido. Fiquei, na presente data, das 17h às 17h23, aguardando um café com pão de queijo,. Não recebi, mas uma mulher que havia acabado de chegar, recebeu seu café rapidamente. Ao questionar uma funcionária, ela alegou que o atendente havia tirado um pedido errado, e entregou apenas para não descartar (vide câmeras). Ao perguntar à mesma funcionária quem era o responsável pela loja, ela pediu que me dirigisse ao Caixa. Fiquei aguardando para ser atendida, apenas para receber a informação de que as reclamações são feitas diretamente no site, e que o nome do responsável é Everton. É necessário, que tenha um responsável para direcionar os funcionários, evitando desorganização e ""empurra empurra"" de atendimento entre eles. Somente agora lendo as avaliações, há um ano atrás vocês responderam em outra reclamação que lamentavam o fato, e que não era o padrão de atendimento. Pelo visto, nada foi feito melhorar... 5 /",,neutral
Fernando Giannini de Souza,3.7/5,827,"um ano atrás Depois que reformaram e fizeram um 'rebranding' ficou metido a besta. Tudo ficou com metade do tamanho, metade do gosto e o dobro do preço. É uma pena pois era muito bom.",3.7,neutral
Ricardo Agostinho,,22,"2 anos atrás Cheguei às 21 e 40 para comer um folhado (que era o último e tava murchinho) E minha esposa iria pegar um sorvete O atendente visivelmente não gostou e já foi avisando que se fossemos sentar, a casa fecha às 22 e recolhe as mesas Expliquei que conheço a casa a muuuuitos anos e que sairia antes do horário com certeza, para minha surpresa entrou outro casal e ele nos atendendo e falando alto com o casal a mesma coisa Sentei, comi o doce sem graça como eu fiquei, terminei às 21 e 55 com ele e outro recolhendo as mesas sem cerimônia e fui embora Provavelmente pra não voltar mais 2 /",,negative
Fernando Peviani,,7,"2 anos atrás Café sempre bom, assim como o pão de queijo. Uma pena que alguns bolos como o Rigo, terem saído de linha (pra sempre). Mas a atendente clamar por Deus toda vez que eu pedi algo foi, no mínimo, estarrecedor. Nunca vi isso na minha vida. Muito zuado. Requer treinamento da equipe 1 /",,neutral
Rafael Hoss,4.0/5,73,um ano atrás Refeição no local / Outro / R$ 60–80 A comida é gostosa e o café super saboroso. O ambiente é bonito e tem espaços para trabalhar. O atendimento peca em alguns pontos.,4.0,positive
Beatriz Pellegrini,,46,"3 anos atrás Doces de qualidade e sabor incomparáveis! Ambiente agradável, visita indispensável. 1 /",,neutral
Livia Freitas Marighetti,,,"·1 foto 4 anos atrás Ficamos uns 10 minutos aguardando alguém limpar a mesa para fazermos nossos pedidos. Simplesmente as meninas passavam e ignoravam a nossa existência no local! Solicitei 3 vezes que por favor recolhessem os itens que estavam na mesa. Após muita espera e sem atendimento fomos para outro local! Funcionárias bem mal humoradas. Não curti essa unidade. Acho que seria legal dar uma aulinha de simpatia para a equipe, afinal de contas ninguém vai para um café ser maltratado! 3",,neutral
Lidiane Lima,,10,5 anos atrás Tomei um café da manhã maravilhoso em pleno primeiro de janeiro. Tudo uma delícia.,,neutral
Haluana Higa,,32,"5 anos atrás Atendimento ótimo, local agradável e doces e o café sensacional.",,neutral
Fabio,,66,"2 anos atrás Hoje pela manhã fui fazer uma retirada de um pedido que fiz. Era umas 9:30hrs do dia 14 / 12 / 22. A moça que estava junto a outra que trabalhava no caixa, estremamente grossa! Não volto mais nesta loja! Obs: não era a moça do Caixa!! 2 /",,neutral
Claudia Del Bel,,,"3 anos atrás Bom café, boa conversa com amigos. É um clima muito gostoso, mesas externas e bom atendimento. Eu só observaria que quando está cheio, não há funcionários suficientes. Ficamos esperando pelo menos 5 minutos de pé no caixa até que a atendente, muito gentil, terminasse de servir um sorvete. No meio de um dia de trabalho, esses 5 minutos fazem diferença.... 1 /",,neutral
Mauricio Y,4.0/5,2,"um ano atrás Das vezes que eu fui estava um pouco cheio e só uma atendente no balcão e outra no caixa, demorou um pouco para atender e pagar... Os flanelinhas da rua incomodam",4.0,positive
Sandra Ferreira,5.0/5,,um ano atrás Para viagem / Jantar / R$ 100–120 O atendimento do Vinícius excepcional paciência e profissionalismo para vender cada item com excelência acabamos levando mais itens. Parabéns,5.0,positive
Ricardo Ramos,,,"4 anos atrás Ruim. Chegamos eu e 3 amigos as 20:15. Pedimos. Quando nosso pedido chegou, fomos informados que a loja iria fechar, por causa do horário. O garçom ficou plantado, ao lado de nossa mesa, esperando que terminassem os nossos lanches, que haviam acabado de chegar. Se ia fechar em breve, por que não nos avisaram? Nunca mais volto ali. 2 /",,neutral
Luana,,,"5 anos atrás Prestação de serviço completamente inadequada. Na quinta fiz a encomenda de um bolo para retirada no domingo as 11h30. Fui a loja na rua Caiubi no dia e horário agendados, porém quando cheguei não encontraram o meu pedido e não encontraram a minha encomenda na lista. A atendente conseguiu um bolo congelado que estava no ""estoque"" deles e me disse que até a hora de servir que seria após o almoco estaria adequado para consumo. No momento de servir eu não consegui pois o bolo ainda estava completamente congelado. Achei um grande descaso com o cliente. 1",,negative
Ricardo,,1404,"5 anos atrás Muito bem localizado, atendimento muito bom! Preços são aqueles que todos já conhecem (caro) mas custo benefício vale a pena. Sempre tem clientes seja manhã, tarde ou noite. se preferir ambiente climatizado pode ficar do lado de dentro, se não, fique do lado de fora. Único aspecto que me incomodou é que ficando do lado de fora, o assédio dos vendedores ambulantes não é controlado. Pretendo retornar. 1",,neutral
Ana Claudia Sillos,,25,"5 anos atrás O pão de queijo é delicioso, com café ainda melhor! /",,neutral
Cristina Maurano,5.0/5,,"9 meses atrás Refeição no local / Café da manhã / R$ 40–60 Delicioso café, com o melhor mil folhas ! Preço justo.",5.0,positive
Marta Gomes,,1725,"7 anos atrás Pequena, mas suficiente para um bom papo, um café gostoso, aqueles produtos gostosos e um atendimento carinhoso! Amo o pão de querido de grãos, a tartin é fantástica, o carinho de camarão, cozinha, empadinha, enfim, tudo gostoso! Tem uma linha diet aprovada pela associação de diabéticos. Vale a pena! /",,neutral
